level1,level2,level3,function.,pge01b,pge02b,pge03b,pge04b,pge05b,pge06b,pge07b,pge08b,pge09b,pge10b,pge01c,pge02c,pge03c,pge04c,pge05c,pge06c,pge07c,pge08c,pge09c,pge10c,pgw01b,pgw02b,pgw03b,pgw04b,pgw05b,pgw06b,pgw07b,pgw08b,pgw09b,pgw10b,pgw01c,pgw02c,pgw03c,pgw04c,pgw05c,pgw06c,pgw07c,pgw08c,pgw09c,pgw10c
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Anaerobic_Oxidative_Degradation_of_L-Ornithine,"2-amino-4-ketopentanoate thiolase, beta subunit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Anaerobic_Oxidative_Degradation_of_L-Ornithine,"2,4-diaminopentanoate dehydrogenase (EC 1.4.1.12)",0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Anaerobic_Oxidative_Degradation_of_L-Ornithine,Ornithine racemase (EC 5.1.1.12),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Anaerobic_Oxidative_Degradation_of_L-Ornithine,"2-amino-4-ketopentanoate thiolase, alpha subunit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Anaerobic_Oxidative_Degradation_of_L-Ornithine,Probable reactivating factor for D-ornithine aminomutase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Agmatinase (EC 3.5.3.11),12,7,14,8,12,20,14,14,20,19,15,7,21,13,6,13,14,9,8,8,18,11,17,14,10,20,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Agmatine deiminase (EC 3.5.3.12),16,15,15,5,16,11,16,10,8,11,14,15,18,15,22,13,15,13,13,13,12,11,10,13,16,11,8,13,12,5,16,14,10,19,12,19,12,12,11,9
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Arginase (EC 3.5.3.1),9,10,13,9,17,9,13,11,25,18,2,3,10,16,13,8,21,15,25,18,12,10,17,7,22,14,9,7,8,5,15,12,8,16,13,20,13,5,12,5
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Arginine decarboxylase (EC 4.1.1.19),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,16,14,17,9,7,13,10,11,9,14,2
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Arginine deiminase (EC 3.5.3.6),9,11,15,10,6,7,10,9,12,8,7,13,15,1,4,16,13,5,11,2,10,7,12,1,13,20,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Arginine N-succinyltransferase (EC 2.3.1.109),1,2,4,6,0,3,3,3,4,2,1,0,2,0,4,2,1,2,1,2,1,3,2,2,6,2,3,0,2,0,0,2,2,1,2,5,3,0,2,5
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Arginine N-succinyltransferase, beta subunit (EC 2.3.1.109)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Arginine pathway regulatory protein ArgR, repressor of arg regulon",3,6,7,8,3,3,5,10,10,7,1,0,4,4,9,7,8,3,5,1,8,10,7,13,8,5,2,13,5,8,6,0,6,8,3,5,4,8,10,10
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Arginine permease RocE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Arginine utilization protein RocB,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Arginine utilization regulatory protein RocR,2,2,4,2,0,2,1,0,1,2,1,1,3,1,2,1,0,0,2,2,1,1,0,0,3,2,2,2,1,1,1,5,2,2,0,1,1,1,2,1
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Arginine/agmatine antiporter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Arginine/ornithine ABC transporter, ATP-binding protein AotP",2,0,0,0,0,1,0,0,0,1,0,3,1,1,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Arginine/ornithine ABC transporter, periplasmic arginine/ornithine binding protein",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Arginine/ornithine ABC transporter, permease protein AotQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Biosynthetic arginine decarboxylase (EC 4.1.1.19),27,18,29,23,17,16,22,13,17,15,23,15,11,21,17,12,20,18,18,14,9,15,11,8,10,17,10,6,13,9,9,20,24,19,19,24,16,18,13,32
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,26,0,31,37,36,49,51,34,49,30,32,55,54
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Histidine ABC transporter, ATP-binding protein HisP (TC 3.A.1.3.1)",2,0,0,2,0,1,1,0,1,0,0,4,0,3,0,2,0,5,3,1,0,0,1,0,0,2,1,1,0,0,1,2,1,0,0,1,1,4,1,5
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Histidine ABC transporter, histidine-binding periplasmic protein precursor HisJ (TC 3.A.1.3.1)",0,0,1,0,0,0,1,0,0,0,3,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Histidine ABC transporter, permease protein HisM (TC 3.A.1.3.1)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Histidine ABC transporter, permease protein HisQ (TC 3.A.1.3.1)",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1),0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Ornithine cyclodeaminase (EC 4.3.1.12),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,17,15,7,16,24,10,34,8,20,16,15
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Succinylarginine dihydrolase (EC 3.5.3.23),8,9,3,1,1,2,2,1,5,3,2,3,8,3,6,4,4,3,3,5,5,6,8,2,1,14,3,5,3,7,1,5,6,4,10,6,8,6,3,8
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Succinylglutamate desuccinylase (EC 3.5.1.96),1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71),7,0,2,4,4,14,4,4,3,3,4,5,5,7,8,5,8,5,2,8,4,7,3,4,4,3,2,9,4,13,5,7,4,3,4,3,10,10,5,9
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,Succinylornithine transaminase (EC 2.6.1.81),7,2,5,3,2,4,4,2,9,6,1,1,4,5,1,0,2,0,4,2,2,3,1,2,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Arginine ABC transporter, ATP-binding protein ArtP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Arginine ABC transporter, periplasmic arginine-binding protein ArtI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Arginine decarboxylase, catabolic (EC 4.1.1.19)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Arginine N-succinyltransferase, alpha subunit (EC 2.3.1.109)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_and_Ornithine_Degradation,"Arginine/ornithine ABC transporter, permease protein AotM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Acetylglutamate kinase (EC 2.7.2.8),35,24,30,25,27,23,20,11,38,16,34,27,17,30,37,19,18,29,26,26,23,23,20,18,28,30,17,24,52,22,15,31,25,26,25,33,30,21,22,20
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Acetylornithine aminotransferase (EC 2.6.1.11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,42,0,24,24,53,51,36,51,59,56,42,31,46
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Acetylornithine aminotransferase 1 (EC 2.6.1.11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Acetylornithine aminotransferase 2 (EC 2.6.1.11),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,"Acetylornithine aminotransferase, mitochondrial precursor (EC 2.6.1.11) (ACOAT)",0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Acetylornithine deacetylase (EC 3.5.1.16),27,18,30,24,27,27,20,28,38,46,35,22,23,25,21,23,33,25,15,26,44,21,28,27,24,14,29,40,20,22,22,30,15,30,18,20,16,23,22,23
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Argininosuccinate lyase (EC 4.3.2.1),53,40,54,55,56,45,50,40,47,49,40,56,43,51,59,31,42,42,45,27,42,59,34,44,54,21,35,45,31,35,37,47,28,49,40,56,36,36,47,52
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Argininosuccinate synthase (EC 6.3.4.5),46,45,58,64,25,70,48,45,44,49,36,33,48,39,44,28,58,29,60,29,46,59,25,26,46,42,40,64,72,27,42,46,53,60,22,59,42,41,31,32
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Glutamate N-acetyltransferase (EC 2.3.1.35),20,15,15,14,14,11,16,8,13,15,16,19,17,25,12,17,16,12,10,12,14,15,15,9,17,11,16,17,16,13,9,8,19,22,15,25,9,11,15,17
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38),35,23,36,14,48,45,26,25,38,43,47,24,33,40,28,37,16,29,28,37,34,38,21,34,38,37,41,28,39,46,19,36,12,33,27,42,36,13,35,23
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,N-acetylglutamate synthase (EC 2.3.1.1),26,23,23,22,27,28,8,16,27,19,19,29,24,23,17,16,23,12,17,24,29,25,24,23,26,14,20,19,22,10,12,14,22,21,26,27,18,16,15,17
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,N-acetylornithine carbamoyltransferase (EC 2.1.3.9),0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2,2,0,1,5,2,0,0,0,1,0,0,1
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,"N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)",25,30,11,10,16,23,19,17,11,20,23,16,16,25,24,23,37,17,20,12,17,32,21,13,22,19,13,17,18,29,25,15,17,25,19,27,23,16,21,18
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Ornithine carbamoyltransferase (EC 2.1.3.3),38,32,40,36,32,51,46,26,41,32,32,45,33,34,44,35,48,55,39,42,34,47,37,36,32,49,36,26,34,27,19,36,42,29,49,41,51,32,25,61
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Deiminase_Pathway,Arginine deiminase (EC 3.5.3.6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,7,10,12,28,12,8,5,1,4,5,6
