level1,level2,level3,funct,pgeb.1,pgeb.2,pgeb.3,pgeb.4,pgec.1,pgec.2,pgec.3,pgec.4,pgwb.1,pgwb.2,pgwb.3,pgwb.4,pgwc.1,pgwc.2,pgwc.3,pgwc.4,rcb.1,rcb.2,rcb.3,rcb.4,rcc.1,rcc.2,rcc.3,rcc.4
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine_Salvage,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase related protein,0,0,0,0,0,0,0,9.75E-06,0,0,0,2.21E-05,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,Branched-chain amino acids,Branched-Chain_Amino_Acid_Biosynthesis,2-isopropylmalate synthase (EC 2.3.3.13),0.001082766,0.001233174,0.001100167,0.000999941,0.001276311,0.001515712,0.001052039,0.000887381,0.001299839,0.001408767,0.001390125,0.001436464,0.000951315,0.001081593,0.001163303,0.00091256,0.001250388,0.001389514,0.000906987,0.001295287,0.001446585,0.001125327,0.001078469,0.001400637
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54),0.000343316,0.000181731,0.000155929,0.00014705,0.000141812,0.000332717,0.000251897,0.000165774,2.83E-05,0.000209816,0.000218671,0.000353591,0.000130573,0.000101399,0.000169413,8.30E-05,0.000167837,0.000139951,0.000211109,8.98E-05,0.000261431,0.000267935,0.000159773,0.000157375
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Chorismate_Synthesis,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54),0.000448952,0.000532212,0.00038116,0.000558791,0.000567249,0.000850277,0.000429706,0.000321797,0.000367346,0.000449607,0.000484201,0.000685083,0.000223839,0.000659096,0.000700241,0.0006222,0.000595823,0.000549808,0.000437856,0.000769477,0.00047929,0.000361712,0.000559206,0.000542944
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Chorismate_Synthesis,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54),0.000184862,0.000363462,0.000580403,0.00041174,0.000243107,0.000184843,0.000385254,0.000526578,0.000226059,0.000494567,0.000468582,0.000375691,0.000391718,0.000439397,0.000508239,0.00045628,0.000461553,0.000449843,0.000492588,0.000320616,0.00041829,0.000482283,0.000409419,0.000369831
Amino Acids and Derivatives,Aromatic amino acids and derivatives,"Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.",2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II PhzC (EC 2.5.1.54),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E-05,0,0,0,0,0,8.71E-06,0,9.99E-06,7.87E-06
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Aromatic_amino_acid_degradation,"3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)",0,0,0,2.94E-05,0,0,0,1.95E-05,0,1.50E-05,0,0,0,0,1.13E-05,0,0,0,1.56E-05,2.56E-05,0,0,0,0
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine_fermentation,"3,5-diaminobexanoate dehydrogenase (EC 1.4.1.11)",5.28E-05,0.000129808,0.000129941,8.82E-05,2.03E-05,0,0.000148174,0.000165774,0.000226059,7.49E-05,0.000140574,6.63E-05,9.33E-05,0.000135199,0.00013553,4.15E-05,0.000125878,0.000169941,7.82E-05,0.000179545,0.000122001,9.38E-05,0.000129816,3.15E-05
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),"3,7-dideoxy-D-threo-hepto-2, 6-diulosonate synthase (EC 4.2.3.-)",0,0,8.66E-06,5.88E-05,0,0,0,1.95E-05,0,0,3.12E-05,0,0,1.69E-05,5.65E-05,0.00016592,4.20E-05,3.00E-05,0,0,0,0,3.00E-05,8.66E-05
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine_fermentation,3-aminobutyrl-CoA ammonia lyase (EC 4.3.1.14),0,1.30E-05,3.47E-05,0.00014705,0,7.39E-05,7.41E-05,7.80E-05,8.48E-05,1.50E-05,0,4.42E-05,0.000130573,0.000101399,5.65E-05,8.30E-05,5.04E-05,0.000109962,3.91E-05,0.000102597,8.71E-05,2.68E-05,3.00E-05,7.87E-06
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),3-dehydroquinate dehydratase I (EC 4.2.1.10),2.64E-05,5.19E-05,3.47E-05,0,0,0,1.48E-05,3.90E-05,2.83E-05,5.99E-05,3.12E-05,0.000154696,1.87E-05,3.38E-05,1.13E-05,0.00016592,5.04E-05,1.00E-05,1.56E-05,5.13E-05,3.49E-05,4.02E-05,7.99E-05,1.57E-05
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Chorismate_Synthesis,3-dehydroquinate dehydratase II (EC 4.2.1.10),0.000554587,0.000441346,0.000415811,0.00014705,0.000567249,0.000221811,0.000459341,0.000292543,0.000452118,0.000284751,0.000281149,0.000486188,0.000410371,0.000523896,0.00021459,0.00053924,0.00036085,0.000519818,0.000390943,0.000384739,0.000305003,0.000254538,0.000349504,0.000283275
Amino Acids and Derivatives,Branched-chain amino acids,Valine_degradation,3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31),0.000290498,0.000207692,0.000207906,0.00023528,0.000222848,0.000110906,0.000296349,0.000263289,0.000423861,0.00023979,0.000328007,0.000486188,0.000242492,0.000101399,0.000237178,8.30E-05,0.00026854,0.000319888,0.000328392,0.000218019,0.000348575,0.000227745,0.000349504,0.000196719
Amino Acids and Derivatives,Branched-chain amino acids,Branched-Chain_Amino_Acid_Biosynthesis,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33),0.000713041,0.000960577,0.000987552,0.000970531,0.001175017,0.001109057,0.001037221,0.001199427,0.001215067,0.000899213,0.000937163,0.001127072,0.001305727,0.001182992,0.000835771,0.00091256,0.001082551,0.001089619,0.001016451,0.001308112,0.001089296,0.00111193,0.001018554,0.000904906
Amino Acids and Derivatives,Branched-chain amino acids,Leucine_Biosynthesis,3-isopropylmalate dehydratase small subunit (EC 4.2.1.33),0.000580996,0.000623077,0.00057174,0.000499971,0.000486214,0.000369686,0.000503793,0.00047782,0.00053689,0.000329712,0.000374865,0.000441989,0.000559597,0.000659096,0.00042918,0.0002074,0.000620998,0.00039986,0.000492588,0.000538634,0.000348575,0.000214348,0.000559206,0.000527206
Amino Acids and Derivatives,Branched-chain amino acids,Branched-Chain_Amino_Acid_Biosynthesis,3-isopropylmalate dehydrogenase (EC 1.1.1.85),0.000686632,0.000804808,0.000719007,0.00041174,0.000688803,0.000480591,0.000844595,0.000643595,0.000819464,0.000629449,0.000937163,0.000906077,0.00069017,0.000659096,0.000677652,0.00066368,0.000797227,0.001019643,0.000977357,0.000820776,0.00061872,0.000857392,0.000659064,0.000464256
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine_fermentation,3-keto-5-aminohexanoate cleavage enzyme,5.28E-05,0.000155769,0.000103953,0.00011764,6.08E-05,3.70E-05,0.000103722,0.000175526,8.48E-05,3.00E-05,0.000171813,2.21E-05,0.000335758,0.000135199,4.52E-05,0,7.55E-05,0.00019993,0.000140739,2.56E-05,0.000156859,0.000120571,3.99E-05,7.08E-05
Amino Acids and Derivatives,Branched-chain amino acids,Branched_chain_amino_acid_degradation_regulons,3-ketoacyl-CoA thiolase [isoleucine degradation] (EC 2.3.1.16),0.000184862,0.000116827,0.000147266,5.88E-05,0.000121553,0.000110906,5.93E-05,0.000126769,0.000197802,0.000119895,9.37E-05,0.000287293,0.000205186,5.07E-05,6.78E-05,0,8.39E-05,0.000259909,0.000187652,0.000192369,7.84E-05,0.000147364,0.000129816,0.000133769
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Chorismate_Synthesis,"4-amino, 4-deoxychorismate mutase (EC 5.4.99.-)",2.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Chorismate_Synthesis,"4-amino, 4-deoxyprephenate dehydrogenase (EC 1.3.1.-)",0,1.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,Aromatic amino acids and derivatives,"Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.","4-amino-4-deoxychorismate synthase, amidotransferase component , aminase component (EC 2.6.1.-)",0,0,8.66E-06,0,0,0,0,2.93E-05,0,1.50E-05,0,2.21E-05,0,5.07E-05,0,4.15E-05,0,0,0,0,2.61E-05,0,9.99E-06,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Putrescine_utilization_pathways,4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19),0.000422543,0.000298558,0.000467788,0.00041174,0.000303884,0.000221811,0.000474158,0.000282792,0.000565147,0.000269764,0.000484201,0.000220994,0.000335758,0.000270398,0.000327532,0.00033184,0.000243364,0.000359874,0.000250203,0.00033344,0.000348575,0.000308125,0.00030956,0.000283275
Amino Acids and Derivatives,Proline and 4-hydroxyproline,"Proline,_4-hydroxyproline_uptake_and_utilization",4-hydroxyproline epimerase (EC 5.1.1.8),0.000290498,0.000142789,0.000138604,8.82E-05,4.05E-05,3.70E-05,0.000103722,0.000175526,5.65E-05,5.99E-05,0.000140574,0.000176796,3.73E-05,8.45E-05,0.000101648,4.15E-05,0.000125878,0.00022992,9.38E-05,0.000141071,0.000174287,0.000187554,0.000109844,0.000110162
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Chorismate_Synthesis,5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19),0.000633814,0.000363462,0.000641042,0.00038233,0.00036466,0.000295749,0.000370436,0.000975144,0.000452118,0.000509554,0.000734111,0.000353591,0.00069017,0.000777395,0.000587299,0.00024888,0.000755268,0.000609787,0.000625508,0.00066688,0.000671006,0.000723424,0.000679036,0.000605894
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine_degradation,5-aminopentanamidase (EC 3.5.1.30),0,0,3.47E-05,0,0,0,0,1.95E-05,2.83E-05,3.00E-05,1.56E-05,0,0,0,2.26E-05,8.30E-05,1.68E-05,2.00E-05,1.56E-05,0,1.74E-05,1.34E-05,0,1.57E-05
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine_degradation,5-aminovalerate aminotransferase (EC 2.6.1.48),0,1.30E-05,1.73E-05,0,0,0,0,0,0,1.50E-05,0,0,0,0,0,4.15E-05,0,1.00E-05,0,0,0,0,9.99E-06,0
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Aromatic_amino_acid_degradation,"5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)",5.28E-05,9.09E-05,0.000138604,0.00011764,6.08E-05,0,0.000133357,0.000126769,0.000141287,0.000164856,0.000140574,4.42E-05,0.000111919,6.76E-05,6.78E-05,4.15E-05,0.000109094,8.00E-05,0.000117283,5.13E-05,0.000113287,9.38E-05,7.99E-05,8.66E-05
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine_Biosynthesis,5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13),0.001875033,0.002271636,0.002105044,0.002029292,0.002532364,0.001700555,0.002489331,0.002184322,0.002938766,0.002532784,0.002155475,0.00240884,0.002424921,0.002315284,0.002281429,0.00232288,0.002097967,0.00222922,0.001892162,0.002282783,0.002265736,0.002371224,0.002097022,0.002148169
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine_Biosynthesis,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14),0.000211271,0.000116827,0.000277207,0.00020587,0.000162071,0.00025878,0.000103722,0.000321797,0.000254316,0.000119895,0.000234291,0.000243094,9.33E-05,0.000337998,6.78E-05,0.0002074,0.000251756,0.000299895,0.000250203,0.000564283,0.00033986,0.000267935,0.000319546,0.000236062
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Aromatic_amino_acid_degradation,"5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase.",5.28E-05,9.09E-05,8.66E-06,0,4.05E-05,0,4.45E-05,4.88E-05,0,3.00E-05,9.37E-05,2.21E-05,1.87E-05,1.69E-05,3.39E-05,8.30E-05,1.68E-05,3.00E-05,2.35E-05,3.85E-05,6.10E-05,5.36E-05,6.99E-05,5.51E-05
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Polyamine_Metabolism,"ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)",0.000158453,0.000272596,0.000155929,8.82E-05,0.000344401,0.00025878,0.000148174,0.000175526,0.000226059,0.000314725,0.000140574,0.000220994,0.000242492,0.000270398,0.000406591,0.0004148,0.000276932,0.000419853,0.000179834,0.000115422,0.000209145,0.000174158,0.000149787,0.000283275
Amino Acids and Derivatives,Histidine Metabolism,Histidine_Biosynthesis,ATP phosphoribosyltransferase (EC 2.4.2.17),0.000316907,0.0003375,0.000355172,0.0002941,0.000162071,0.000110906,0.000488976,0.000360803,0.000367346,0.000329712,0.000593537,0.000574586,0.000391718,0.000287298,0.000395297,0.00016592,0.000377634,0.000489829,0.000320573,0.000243668,0.000313717,0.000294728,0.000389447,0.000369831
Amino Acids and Derivatives,Histidine Metabolism,Histidine_Biosynthesis,ATP phosphoribosyltransferase catalytic subunit (EC 2.4.2.17),0.00023768,3.89E-05,0.000138604,8.82E-05,0.00018233,0.000221811,0.000162992,0.000253537,0.000113029,0.000224803,0.000124955,8.84E-05,0.000130573,0.000253498,0.000158119,0.00012444,0.00013427,8.00E-05,0.000125102,0.000153895,0.000174287,0.000147364,0.000149787,0.000180981
Amino Acids and Derivatives,Histidine Metabolism,Histidine_Biosynthesis,ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17),0.000264089,0.000155769,0.000164592,2.94E-05,0.000101295,0.00025878,0.000162992,0.000175526,0.000113029,0.000104908,9.37E-05,0.000220994,0.000111919,5.07E-05,0.000169413,0.0002074,0.000151054,0.000129955,0.000117283,0.000153895,0.000122001,0.000187554,7.99E-05,0.000220325
Amino Acids and Derivatives,Branched-chain amino acids,Branched_chain_amino_acid_degradation_regulons,Acetoacetyl-CoA synthetase (EC 6.2.1.16),0.000686632,0.000739904,0.001100167,0.000882301,0.000567249,0.000332717,0.000726055,0.001062907,0.001328096,0.001019108,0.00103088,0.000773481,0.001044581,0.000895694,0.000734123,0.0008296,0.00085597,0.001109612,0.00082098,0.00135941,0.00103701,0.000763614,0.001038525,0.000653106
Amino Acids and Derivatives,Branched-chain amino acids,HMG_CoA_Synthesis,Acetoacetyl-CoA synthetase [leucine] (EC 6.2.1.16),0,3.89E-05,5.20E-05,0,2.03E-05,3.70E-05,2.96E-05,1.95E-05,0,4.50E-05,0,4.42E-05,3.73E-05,8.45E-05,1.13E-05,0,2.52E-05,1.00E-05,2.35E-05,8.98E-05,0,2.68E-05,3.99E-05,7.87E-06
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine_biosynthesis_AAA_pathway_2,Acetylaminoadipate kinase (EC 2.7.2.-),0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-05,0,0,0,1.00E-05,7.82E-06,2.56E-05,8.71E-06,0,9.99E-06,2.36E-05
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Acetylglutamate kinase (EC 2.7.2.8),0.000871494,0.000649039,0.00038116,0.00038233,0.000283625,0.000369686,0.000444523,0.000497323,0.000367346,0.000524541,0.000593537,0.000441989,0.000708823,0.000659096,0.000666358,0.00078812,0.000520296,0.000579797,0.000461312,0.000487336,0.00061872,0.000522473,0.000449362,0.000558681
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Acetylornithine aminotransferase 1 (EC 2.6.1.11),0,0,8.66E-06,0,0,0,1.48E-05,0,2.83E-05,0,0,0,0,0,0,0,0,0,0,1.28E-05,8.71E-06,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Acetylornithine aminotransferase 2 (EC 2.6.1.11),0,0,0,0,0,0,0,0,0,0,0,0,1.87E-05,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,"Acetylornithine aminotransferase, mitochondrial precursor (EC 2.6.1.11) (ACOAT)",0,0,0,5.88E-05,0,7.39E-05,0,0,0,0,0,0,1.87E-05,3.38E-05,0,8.30E-05,2.52E-05,0,0,0,0,1.34E-05,0,0
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine_Biosynthesis_extended,Acetylornithine deacetylase (EC 3.5.1.16),0.00047536,0.000324519,0.000615054,0.00035292,0.000506473,0.00025878,0.000414889,0.000419312,0.000282574,0.000344698,0.000437343,0.000640884,0.000540944,0.000506997,0.000384003,0.00070516,0.000520296,0.000579797,0.000508225,0.000512985,0.00041829,0.000428696,0.000529248,0.000401306
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Tryptophan_synthesis,Acting phosphoribosylanthranilate isomerase (EC 5.3.1.24),5.28E-05,2.60E-05,5.20E-05,5.88E-05,2.03E-05,0,0.00011854,8.78E-05,5.65E-05,4.50E-05,4.69E-05,8.84E-05,5.60E-05,0,4.52E-05,0,2.52E-05,4.00E-05,0.000109464,2.56E-05,6.10E-05,2.68E-05,3.00E-05,4.72E-05
Amino Acids and Derivatives,Branched-chain amino acids,Isoleucine_degradation,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",0.001426081,0.001388943,0.00158528,0.001294042,0.001053463,0.000961183,0.001259483,0.001472467,0.001864986,0.001139003,0.001827468,0.001104972,0.001716098,0.001250591,0.001163303,0.00070516,0.001292347,0.001569451,0.001532495,0.00188522,0.001612158,0.001513832,0.00152783,0.001180312
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine_Biosynthesis,Adenosylhomocysteinase (EC 3.3.1.1),0.001267628,0.001285097,0.001152144,0.001823422,0.001337088,0.0012939,0.00157065,0.001365201,0.001864986,0.001513676,0.001499461,0.001281768,0.00132438,0.001909687,0.001253656,0.0014518,0.001267172,0.001479482,0.001423031,0.001538955,0.0014553,0.001339674,0.001427972,0.001274737
Amino Acids and Derivatives,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Glutamate_and_Aspartate_uptake_in_Bacteria,"Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate, aspartate",0.000343316,0.000324519,0.00028587,0.00038233,0.000344401,0.000369686,0.000281532,0.000243786,0.000339088,0.00019483,0.000593537,8.84E-05,0.000261145,0.000304198,0.000293649,0.00037332,0.000234972,0.000329885,0.000351848,0.000141071,0.000392147,0.000334919,0.000139801,0.00031475
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Polyamine_Metabolism,Agmatinase (EC 3.5.3.11),0.00023768,0.000298558,0.000424474,0.00020587,0.000344401,0.000554529,0.000325984,0.000234034,0.000423861,0.000584489,0.000359246,0.000464088,0.000354411,0.000405597,0.000519533,0.00029036,0.00040281,0.000469836,0.000351848,0.000269317,0.000374718,0.000267935,0.000249646,0.000479994
