,ID,Site,Quad,Treatment,Year,Density_mean,Cover_mean,nh4_summer17_mean,nh4_winter18_mean,Mg_mean,K_mean,Ca_mean,Na_mean,P_mean,DOC_summer17_mean,DOC_winter18_mean,NO3_summer17_mean,NO3_winter18_mean,CN_ratio_mean,pH_summer17_mean,pH_winter18_mean,PO4_mean,Sand_mean,Silt_mean,Clay_mean,wc_summer17_mean,om_summer17_mean,wc_winter18_mean,om_winter18_mean,P_winter2017_mean,P_spring2017_mean,P_summer2017_mean,P_fall2017_mean,P_winter2018_mean,P_spring2018_mean,P_summer2018_mean,P_fall2018_mean,P_winter2019_mean,P_spring2019_mean,P_summer2019_mean,P_fall2019_mean,P_winter2020_mean,P_spring2020_mean,Tavg_winter2017_mean,Tavg_spring2017_mean,Tavg_summer2017_mean,Tavg_fall2017_mean,Tavg_winter2018_mean,Tavg_spring2018_mean,Tavg_summer2018_mean,Tavg_fall2018_mean,Tavg_winter2019_mean,Tavg_spring2019_mean,Tavg_summer2019_mean,Tavg_fall2019_mean,Tavg_winter2020_mean,Tavg_spring2020_mean,TMax_winter2017_mean,TMax_spring2017_mean,TMax_summer2017_mean,TMax_fall2017_mean,TMax_winter2018_mean,TMax_spring2018_mean,TMax_summer2018_mean,TMax_fall2018_mean,TMax_winter2019_mean,TMax_spring2019_mean,TMax_summer2019_mean,TMax_fall2019_mean,TMax_winter2020_mean,TMax_spring2020_mean,TMin_winter2017_mean,TMin_spring2017_mean,TMin_summer2017_mean,TMin_fall2017_mean,TMin_winter2018_mean,TMin_spring2018_mean,TMin_summer2018_mean,TMin_fall2018_mean,TMin_winter2019_mean,TMin_spring2019_mean,TMin_summer2019_mean,TMin_fall2019_mean,TMin_winter2020_mean,TMin_spring2020_mean,ng.cov_mean,nng.cov_mean,nnf.cov_mean,nf.cov_mean,ng.den_mean,nng.den_mean,nnf.den_mean,nf.den_mean
47,PGE04,PGE,A,burn,2018,67.75,3.25,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0,5.596236099,4.067446043,0,0,14.77502139,12.88464991,0
51,PGE04,PGE,B,burn,2018,32.8,3.2,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,1.2,4.476988879,3.253956835,0,1.076876877,11.82001711,10.30771993,0
55,PGE04,PGE,C,burn,2018,45.2,2.8,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.6,6.715483319,1.626978417,0,1.076876877,17.73002566,5.153859964,0
59,PGE04,PGE,D,burn,2018,22.16666667,1.75,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.083333333,5.596236099,2.711630695,0,0.897397397,14.77502139,8.589766607,0
63,PGE05,PGE,A,burn,2018,34.4,1.8,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0,6.715483319,3.253956835,0,0,17.73002566,10.30771993,0
67,PGE05,PGE,B,burn,2018,54.5,2.375,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0,8.394354149,2.033723022,0,0,22.16253208,6.442324955,0
71,PGE05,PGE,C,burn,2018,55.8,2,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.4,4.476988879,3.253956835,0,1.076876877,11.82001711,10.30771993,0
75,PGE05,PGE,D,burn,2018,35.25,2,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0,5.596236099,4.067446043,0,0,14.77502139,12.88464991,0
79,PGE06,PGE,A,burn,2018,14.9,2,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.9,3.35774166,3.253956835,1.158654474,0.538438438,8.865012831,10.30771993,3.227302417
83,PGE06,PGE,B,burn,2018,17.42857143,1.357142857,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.142857143,3.1978492,3.486382323,0.827610339,0.769197769,8.442869363,11.04398564,2.305216012
87,PGE06,PGE,C,burn,2018,14.83333333,2.166666667,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.833333333,3.730824066,4.067446043,0,0.897397397,9.850014257,12.88464991,0
91,PGE06,PGE,D,burn,2018,26.83333333,2.916666667,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,1.5,3.730824066,2.711630695,0.965545395,0.897397397,9.850014257,8.589766607,2.689418681
95,PGE07,PGE,A,burn,2018,11.42857143,1.142857143,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.142857143,4.796773799,3.486382323,0,0.769197769,12.66430404,11.04398564,0
99,PGE07,PGE,B,burn,2018,26.75,2,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.25,2.79811805,4.067446043,0,1.346096096,7.387510693,12.88464991,0
103,PGE07,PGE,C,burn,2018,17.375,4.75,0.631507619,0.960818175,0.776974707,0.933443884,0.842626375,0.147584418,0.1119298,0.361754583,0.574706946,0.777049546,1.052529737,12.36504436,5.586,5.52,18.43500424,15.10678927,50.33125504,34.5619557,4.784251479,6.028268599,6.465206819,6.319845917,5.105,0.23,0,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0,2.79811805,4.067446043,1.448318093,0,7.387510693,12.88464991,4.034128021
